# Words whose schwa nothing has verified, most frequent first.
# Answer one question per row: is each marked e the vowel of 'enak' (e)
# or of 'sedang' (schwa)? Put y or n in the last column; leave blank if unsure.
# The first 500 rows carry 77% of this group's weight in running text.
freq	word	pronunciation	schwa_decision	correct
1239	ke	k ə	e1=ə	
520	israel	i s r a ə l	e1=ə	
380	sistem	s i s t ə m	e1=ə	
301	elektron	e l e k t r o n	e1=e e2=e	
278	matematika	m a t ə m a t i k a	e1=ə	
212	eropa	e r o p a	e1=e	
195	geografi	ɡ e o ɡ r a f i	e1=e	
194	sendiri	s ə n d i r i	e1=ə	
182	partikel	p a r t i k ə l	e1=ə	
172	wales	w a l e s	e1=e	
165	infeksi	i n f e k s i	e1=e	
155	sulawesi	s u l a w e s i	e1=e	
131	molekul	m o l ə k u l	e1=ə	
123	konsep	k o n s ə p	e1=ə	
119	komputer	k o m p u t ə r	e1=ə	
109	metode	m e t o d ə	e1=e e2=ə	
106	tenggara	t ə ŋ ɡ a r a	e1=ə	
101	militer	m i l i t ə r	e1=ə	
99	organisme	o r ɡ a n i s m ə	e1=ə	
87	reaksi	r e a k s i	e1=e	
84	aspek	a s p e k	e1=e	
80	etnis	e t n i s	e1=e	
74	referensi	r e f ə r e n s i	e1=e e2=ə e3=e	
73	relatif	r e l a t i f	e1=e	
71	lembaga	l ə m b a ɡ a	e1=ə	
63	objek	o b d͡ʒ e k	e1=e	
60	fenomena	f e n o m e n a	e1=e e2=e	
60	elemen	e l ə m e n	e1=e e2=ə e3=e	
58	austronesia	a u s t r o n e s i a	e1=e	
53	sektor	s ə k t o r	e1=ə	
51	borneo	b o r n e o	e1=e	
50	medis	m e d i s	e1=e	
50	geografis	ɡ e o ɡ r a f i s	e1=e	
49	evolusi	e v o l u s i	e1=e	
47	tipe	t i p ə	e1=ə	
47	sumenep	s u m ə n ə p	e1=ə e2=ə	
47	genetik	ɡ e n e t i k	e1=e e2=e	
43	nukleus	n u k l e u s	e1=e	
43	media	m e d i a	e1=e	
43	hepatitis	h ə p a t i t i s	e1=ə	
40	genom	ɡ e n o m	e1=e	
39	verba	v ə r b a	e1=ə	
39	morfem	m o r f ə m	e1=ə	
39	argumen	a r ɡ u m e n	e1=e	
38	negatif	n ə ɡ a t i f	e1=ə	
38	dewasa	d e w a s a	e1=e	
37	populer	p o p u l e r	e1=e	
37	mekanisme	m e k a n i s m ə	e1=e e2=ə	
37	entitas	e n t i t a s	e1=e	
36	tepi	t ə p i	e1=ə	
36	artikel	a r t i k ə l	e1=ə	
35	moresby	m o r e e s b e j e	?	
34	gastroenteritis	ɡ a s t r u n t ə r i t i s	?	
32	identitas	i d e n t i t a s	e1=e	
31	tersendiri	t ə r s e n d i r i	e1=ə e2=e	
31	organel	o r ɡ a n e l	e1=e	
31	menginfeksi	m ə ŋ i n f e k s i	e1=ə e2=e	
31	heliks	h ə l i k s	e1=ə	
31	diare	d i a r e	e1=e	
30	terinfeksi	t ə r i n f e k s i	e1=ə e2=e	
30	persona	p ə r s o n a	e1=ə	
30	nasser	n a s s ə r	e1=ə	
29	terkemuka	t ə r k ə m u k a	e1=ə e2=ə	
29	enklitik	e n k l i t i k	e1=e	
28	tertua	t ə r t u a	e1=ə	
28	museum	m u s e u m	e1=e	
28	ekologi	e k o l o ɡ i	e1=e	
27	mengidentifikasi	m ə ŋ i d ə n t i f i k a s i	e1=ə e2=ə	
27	kilometer	k i l o m e t ə r	e1=e e2=ə	
27	fotosfer	f o t o s f ə r	e1=ə	
27	federasi	f e d ə r a s i	e1=e e2=ə	
27	eyd	e j d	e1=e	
27	dekade	d e k a d ə	e1=e e2=ə	
26	peringkat	p ə r i ŋ k a t	e1=ə	
26	nyeri	ɲ ə r i	e1=ə	
26	internal	i n t ə r n a l	e1=ə	
26	departemen	d ə p a r t ə m e n	e1=ə e2=ə e3=e	
25	karakter	k a r a k t ə r	e1=ə	
24	pesat	p ə s a t	e1=ə	
24	merebut	m ə r ə b u t	e1=ə e2=ə	
24	demokrasi	d e m o k r a s i	e1=e	
24	alternatif	a l t ə r n a t i f	e1=ə	
23	teoretis	t e o r e t i s	e1=e e2=e	
22	sekelompok	s ə k ə l o m p o k	e1=ə e2=ə	
22	riset	r i s ə t	e1=ə	
22	revolusi	r e v o l u s i	e1=e	
22	pasien	p a s i e n	e1=e	
22	legislatif	l ə ɡ i s l a t i f	e1=ə	
22	geologi	ɡ e o l o ɡ i	e1=e	
21	karakteristik	k a r a k t ə r i s t i k	e1=ə	
21	kanker	k a n k ə r	e1=ə	
21	geometri	ɡ e o m e t r i	e1=e e2=e	
21	ekspor	e k s p o r	e1=e	
20	resolusi	r e s o l u s i	e1=e	
20	relativitas	r e l a t i v i t a s	e1=e	
20	predikat	p r e d i k a t	e1=e	
20	polinesia	p o l i n e s i a	e1=e	
20	newton	n e w t o n	e1=e	
20	genetika	ɡ e n e t i k a	e1=e e2=e	
20	ed	e d	e1=e	
20	bone	b o n e	e1=e	
19	subtipe	s u b t i p ə	e1=ə	
19	segi	s ə ɡ i	e1=ə	
19	rute	r u t ə	e1=ə	
19	direbut	d i r ə b u t	e1=ə	
19	dikelompokkan	d i k ə l o m p o k k a n	e1=ə	
18	nukleat	n u k l e a t	e1=e	
18	nobel	n o b ə l	e1=ə	
18	lempeng	l ə m p ə ŋ	e1=ə e2=ə	
18	kedah	k ə d a h	e1=ə	
18	kanjeng	k a n d͡ʒ ə ŋ	e1=ə	
18	investasi	i n v e s t a s i	e1=e	
18	elektromagnetik	e l e k t r o m a ɡ n e t i k	e1=e e2=e e3=e	
17	seberang	s ə b ə r a ŋ	e1=ə e2=ə	
17	netral	n e t r a l	e1=e	
17	matematis	m a t ə m a t i s	e1=ə	
17	kode	k o d ə	e1=ə	
17	kelak	k ə l a k	e1=ə	
17	internet	i n t ə r n e t	e1=ə e2=e	
17	buleleng	b u l e l e ŋ	e1=e e2=e	
17	buddhisme	b u d d h i s m ə	e1=ə	
17	aristoteles	a r i s t o t e l ə s	e1=e e2=ə	
17	alfabet	a l f a b ə t	e1=ə	
16	retikulum	r e t i k u l u m	e1=e	
16	potensial	p o t e n s i a l	e1=e	
16	penginderaan	p ə ŋ i n d ə r a a n	e1=ə e2=ə	
16	neuraminidase	n e u r a m i n i d a s ə	e1=e e2=ə	
16	mempromosikan	m ə m p r o m o s i k a n	e1=ə	
16	konservatif	k o n s e r v a t i f	e1=e	
16	epidemi	e p i d ə m i	e1=e e2=ə	
16	endoplasma	e n d o p l a s m a	e1=e	
16	emisi	e m i s i	e1=e	
16	einstein	e i n s t e i n	e1=e e2=e	
16	arsitektur	a r s i t e k t u r	e1=e	
15	sistematis	s i s t ə m a t i s	e1=ə	
15	respons	r e s p o n s	e1=e	
15	nukleobasa	n u k l e o b a s a	e1=e	
15	metafisika	m e t a f i s i k a	e1=e	
15	lebanon	l ə b a n o n	e1=ə	
15	language	l a ŋ u a ɡ ə	e1=ə	
15	kolonialisme	k o l o n i a l i s m ə	e1=ə	
15	karangasem	k a r a ŋ a s ə m	e1=ə	
15	etnik	e t n i k	e1=e	
15	elementer	e l ə m e n t e r	e1=e e2=ə e3=e e4=e	
15	diselenggarakan	d i s ə l ə ŋ ɡ a r a k a n	e1=ə e2=ə	
15	diidentifikasi	d i i d e n t i f i k a s i	e1=e	
15	besi	b ə s i	e1=ə	
15	bawean	b a w e a n	e1=e	
14	lateran	l a t e r a n	e1=e	
14	helium	h ə l i u m	e1=ə	
14	gencatan	ɡ e n t͡ʃ a t a n	e1=e	
14	festival	f e s t i v a l	e1=e	
14	erupsi	e r u p s i	e1=e	
14	epistemologi	e p i s t ə m o l o ɡ i	e1=e e2=ə	
14	dikelilingi	d i k ə l i l i ŋ i	e1=ə	
14	center	t͡ʃ ə n t e r	e1=ə e2=e	
14	akademik	a k a d ə m i k	e1=ə	
13	seluler	s ə l u l e r	e1=ə e2=e	
13	reptil	r e p t i l	e1=e	
13	prominensa	p r o m i n ə n s a	e1=ə	
13	persentase	p ə r s e n t a s ə	e1=ə e2=e e3=ə	
13	pegon	p ə ɡ o n	e1=ə	
13	neutrino	n e u t r i n o	e1=e	
13	milenium	m i l ə n i u m	e1=ə	
13	komersial	k o m ə r s i a l	e1=ə	
13	evolusioner	e v o l u s i o n e r	e1=e e2=e	
13	derajat	d ə r a d͡ʒ a t	e1=ə	
13	college	t͡ʃ o l l ə ɡ e	e1=ə e2=e	
13	berevolusi	b ə r e v o l u s i	e1=ə e2=e	
12	vesikel	v e s i k ə l	e1=e e2=ə	
12	terkondensasi	t ə r k o n d ə n s a s i	e1=ə e2=ə	
12	leksikal	l e k s i k a l	e1=e	
12	kreol	k r e o l	e1=e	
12	kontemporer	k o n t ə m p o r ə r	e1=ə e2=ə	
12	ilegal	i l ə ɡ a l	e1=ə	
12	henry	h ə n r j	e1=ə	
12	glikoprotein	ɡ l i k o p r o t e i n	e1=e	
12	dependensi	d e p e n d ə n s i	e1=e e2=e e3=ə	
12	demak	d ə m a k	e1=ə	
11	tema	t ə m a	e1=ə	
11	numeralia	n u m ə r a l i a	e1=ə	
11	menyelidiki	m ə ɲ ə l i d i k i	e1=ə e2=ə	
11	konservasi	k o n s e r v a s i	e1=e	
11	koleksi	k o l e k s i	e1=e	
11	intensif	i n t e n s i f	e1=e	
11	eurasia	ə u r a s i a	e1=ə	
11	eksklusif	e k s k l u s i f	e1=e	
11	edition	e d i t i o n	e1=e	
11	deskripsi	d e s k r i p s i	e1=e	
11	del	d ə l	e1=ə	
11	bergeser	b ə r ɡ e s ə r	e1=ə e2=e e3=ə	
10	sendirinya	s ə n d i r i ɲ a	e1=ə	
10	seleksi	s ə l e k s i	e1=ə e2=e	
10	sekuler	s ə k u l e r	e1=ə e2=e	
